Topic,Sentiment,TwitterID
"apple","irrelevant","126405660308021248"
"apple","irrelevant","126399172495679488"
"apple","irrelevant","126391727408947200"
"apple","irrelevant","126379095004160001"
"apple","irrelevant","126373281099026432"
"apple","irrelevant","126367728754884609"
"apple","irrelevant","126362562865528832"
"apple","irrelevant","126360606042374144"
"apple","irrelevant","126352049070809089"
"apple","irrelevant","126346563147673600"
"apple","irrelevant","126346004688674816"
"apple","irrelevant","126332817134190592"
"apple","irrelevant","126331879883415552"
"apple","irrelevant","126319126913363968"
"apple","irrelevant","126313259572793345"
"apple","irrelevant","126307114959372289"
"apple","irrelevant","126304243144597505"
"apple","irrelevant","126303928039116800"
"apple","irrelevant","126290039138291712"
"apple","irrelevant","126270990459219968"
"apple","irrelevant","126215978341236736"
"apple","irrelevant","126175729024122880"
"apple","irrelevant","126164921485492224"
"apple","irrelevant","126149195957673984"
"apple","irrelevant","126138637652992001"
"apple","irrelevant","126054622564589569"
"apple","irrelevant","126042611709521921"
"apple","irrelevant","126024290201124864"
"apple","irrelevant","126022958710915072"
"apple","irrelevant","126022708524888064"
"apple","irrelevant","126005063595466753"
"apple","irrelevant","126000885485678592"
"apple","irrelevant","125998496535937024"
"apple","irrelevant","125996653990772737"
"apple","irrelevant","125991634855923712"
"apple","irrelevant","125982640263274496"
"apple","irrelevant","125973789526863872"
"apple","irrelevant","125965369532878849"
"apple","irrelevant","125965364667486209"
"apple","irrelevant","125957826500771840"
"apple","irrelevant","125930962545672192"
"apple","irrelevant","125928640394432513"
"apple","irrelevant","125910538550124545"
"apple","irrelevant","125857117407166464"
"apple","irrelevant","125827656238379008"
"apple","irrelevant","125826633713201152"
"apple","irrelevant","125815316596002816"
"apple","irrelevant","125724424774221826"
"apple","irrelevant","125705666592641024"
"apple","irrelevant","125695680135172096"
"apple","irrelevant","125695094836826112"
"apple","irrelevant","125653144993660928"
"apple","irrelevant","125650076759638016"
"apple","irrelevant","125622089502830592"
"apple","irrelevant","125621628917915648"
"apple","irrelevant","125595437938905088"
"apple","irrelevant","125590191502131200"
"apple","irrelevant","125542968844226560"
"apple","irrelevant","125542941287649280"
"apple","irrelevant","125526544377577472"
"apple","irrelevant","125521498055254016"
"apple","irrelevant","125521344342392832"
"apple","irrelevant","125516954407677952"
"apple","irrelevant","125495075504537600"
"apple","irrelevant","125406418777018368"
"apple","irrelevant","125375333162684416"
"apple","irrelevant","125352405482217473"
"apple","irrelevant","125339193802100736"
"apple","irrelevant","125333140414808065"
"apple","irrelevant","125325092841467904"
"apple","irrelevant","125319263027343360"
"apple","irrelevant","125301831286013952"
"apple","irrelevant","125275735815491584"
"apple","irrelevant","125228207002759168"
"apple","irrelevant","125219664488960000"
"apple","irrelevant","125206785584922624"
"apple","negative","126418790706712576"
"apple","negative","126416915664084992"
"apple","negative","126416109212680192"
"apple","negative","126411162622496768"
"apple","negative","126410591949697024"
"apple","negative","126409696553861121"
"apple","negative","126408864387182593"
"apple","negative","126408052525105153"
"apple","negative","126407767132078082"
"apple","negative","126405185630253056"
"apple","negative","126393204550537216"
"apple","negative","126389218284015616"
"apple","negative","126388194194362369"
"apple","negative","126385036441296896"
"apple","negative","126381519513194497"
"apple","negative","126380588822298625"
"apple","negative","126372040696541184"
"apple","negative","126363154837020672"
"apple","negative","126358272084152320"
"apple","negative","126357580741226496"
"apple","negative","126354628999778305"
"apple","negative","126351972948393984"
"apple","negative","126348169826148352"
"apple","negative","126343679785959424"
"apple","negative","126343214805426176"
"apple","negative","126334597431697408"
"apple","negative","126331327271284736"
"apple","negative","126327808803880960"
"apple","negative","126324573384871936"
"apple","negative","126324389741473792"
"apple","negative","126324077513293824"
"apple","negative","126309616391950336"
"apple","negative","126307071984545793"
"apple","negative","126302386644975616"
"apple","negative","126299379832336384"
"apple","negative","126292335540699136"
"apple","negative","126286814578348032"
"apple","negative","126283602571964416"
"apple","negative","126281019476291585"
"apple","negative","126280555980529664"
"apple","negative","126258214412091392"
"apple","negative","126257645282799616"
"apple","negative","126247557339947008"
"apple","negative","126243680129523712"
"apple","negative","126221894126022656"
"apple","negative","126188946974720000"
"apple","negative","126167083334643713"
"apple","negative","126163315499081728"
"apple","negative","126155291288023040"
"apple","negative","126150581558591488"
"apple","negative","126132919117938689"
"apple","negative","126131535211536384"
"apple","negative","126129938247061504"
"apple","negative","126118222746497025"
"apple","negative","126096173198082048"
"apple","negative","126089287660863488"
"apple","negative","126088404084588546"
"apple","negative","126085893353250816"
"apple","negative","126084068298334208"
"apple","negative","126075115686465536"
"apple","negative","126069614181486593"
"apple","negative","126068917012668416"
"apple","negative","126063215842037760"
"apple","negative","126050114518261760"
"apple","negative","126044756320075776"
"apple","negative","126044425964109824"
"apple","negative","126037831301869568"
"apple","negative","126036793970786304"
"apple","negative","126030936084189184"
"apple","negative","126029733325582336"
"apple","negative","126021108641181696"
"apple","negative","126018120983904256"
"apple","negative","126014999444467712"
"apple","negative","126006966312108032"
"apple","negative","126001775626031105"
"apple","negative","126001635162992640"
"apple","negative","125995264325599233"
"apple","negative","125994965183635456"
"apple","negative","125987979784224770"
"apple","negative","125987439692099584"
"apple","negative","125978454146551808"
"apple","negative","125976113657823232"
"apple","negative","125974886006005760"
"apple","negative","125974351035117568"
"apple","negative","125969932285513728"
"apple","negative","125966385259098112"
"apple","negative","125965988146585601"
"apple","negative","125965853769478144"
"apple","negative","125964314220830722"
